site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
P395 06JAN25 2006.0671 53760 1359 3 -123.9   3347  0.640733   4987420  0.395928    53  0.039514  0.0083 0.000748 0.001125 0.003637 -0.053526  0.039949 -0.344025  45.0222792073 -123.8575270443    53.03951
P395 06JAN26 2006.0698 53761 1359 4 -123.9   3347  0.641437   4987420  0.394424    53  0.035025  0.0083 0.000740 0.001135 0.003557 -0.030311  0.021842 -0.308583  45.0222791934 -123.8575270358    53.03502
P395 06JAN27 2006.0726 53762 1359 5 -123.9   3347  0.641740   4987420  0.396495    53  0.041026  0.0083 0.000735 0.001120 0.003583 -0.023363  0.042888 -0.330909  45.0222792117 -123.8575270324    53.04103
P395 06JAN28 2006.0753 53763 1359 6 -123.9   3347  0.641129   4987420  0.393712    53  0.047853  0.0083 0.000756 0.001132 0.003778 -0.024996  0.024686 -0.365856  45.0222791863 -123.8575270407    53.04785
P395 06JAN29 2006.0780 53764 1360 0 -123.9   3347  0.641082   4987420  0.395774    53  0.039609  0.0083 0.000738 0.001132 0.003582 -0.041592  0.058166 -0.318254  45.0222792045 -123.8575270417    53.03961
P395 06JAN30 2006.0808 53765 1360 1 -123.9   3347  0.641664   4987420  0.394288    53  0.049041  0.0083 0.000741 0.001141 0.003651 -0.022647  0.021711 -0.319593  45.0222791908 -123.8575270348    53.04904
P395 06JAN31 2006.0835 53766 1360 2 -123.9   3347  0.641247   4987420  0.395525    53  0.042274  0.0083 0.000729 0.001098 0.003523 -0.031518 -0.004318 -0.332356  45.0222792016 -123.8575270405    53.04227
P395 06FEB01 2006.0862 53767 1360 3 -123.9   3347  0.641310   4987420  0.394320    53  0.048922  0.0083 0.000754 0.001149 0.003786 -0.043065  0.076677 -0.347744  45.0222791904 -123.8575270402    53.04892
P395 06FEB02 2006.0890 53768 1360 4 -123.9   3347  0.639771   4987420  0.396328    53  0.041539  0.0083 0.000750 0.001144 0.003633 -0.041788  0.013471 -0.333998  45.0222792081 -123.8575270602    53.04154
P395 06FEB03 2006.0917 53769 1360 5 -123.9   3347  0.639059   4987420  0.395565    53  0.042247  0.0083 0.000764 0.001149 0.003785 -0.041621  0.045082 -0.357017  45.0222792009 -123.8575270697    53.04225
P395 06FEB04 2006.0945 53770 1360 6 -123.9   3347  0.640676   4987420  0.395007    53  0.038910  0.0083 0.000772 0.001138 0.003779 -0.051699  0.045429 -0.332525  45.0222791955 -123.8575270496    53.03891
P395 06FEB05 2006.0972 53771 1361 0 -123.9   3347  0.641192   4987420  0.397139    53  0.033605  0.0083 0.000742 0.001113 0.003600 -0.016220 -0.006390 -0.326213  45.0222792144 -123.8575270435    53.03361
P395 06FEB06 2006.0999 53772 1361 1 -123.9   3347  0.643207   4987420  0.395981    53  0.039680  0.0083 0.000750 0.001131 0.003732 -0.027186 -0.005998 -0.354263  45.0222792036 -123.8575270184    53.03968
P395 06FEB07 2006.1027 53773 1361 2 -123.9   3347  0.642274   4987420  0.396552    53  0.041559  0.0083 0.000744 0.001129 0.003668 -0.015604 -0.013745 -0.345446  45.0222792084 -123.8575270307    53.04156
P395 06FEB08 2006.1054 53774 1361 3 -123.9   3347  0.642731   4987420  0.397360    53  0.036930  0.0083 0.000746 0.001142 0.003645 -0.011690  0.004980 -0.318235  45.0222792153 -123.8575270254    53.03693
P395 06FEB09 2006.1081 53775 1361 4 -123.9   3347  0.642516   4987420  0.401773    53  0.033065  0.0083 0.000748 0.001152 0.003703 -0.052449 -0.019504 -0.359233  45.0222792547 -123.8575270285    53.03306
