site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
P403 05SEP14 2005.7029 53627 1340 3 -124.1  -3046 -0.564091   5325357  0.310731   284  0.683892  0.0083 0.000738 0.001092 0.003165 -0.035382 -0.088544 -0.170146  48.0623219424 -124.1408751019   284.68389
P403 05SEP15 2005.7057 53628 1340 4 -124.1  -3046 -0.564535   5325357  0.310425   284  0.679703  0.0083 0.000745 0.001094 0.003276 -0.030736 -0.104675 -0.231938  48.0623219393 -124.1408751084   284.67970
P403 05SEP16 2005.7084 53629 1340 5 -124.1  -3046 -0.565901   5325357  0.307939   284  0.678289  0.0083 0.000737 0.001101 0.003244 -0.040006 -0.081324 -0.226514  48.0623219166 -124.1408751272   284.67829
P403 05SEP17 2005.7112 53630 1340 6 -124.1  -3046 -0.565149   5325357  0.307452   284  0.675205  0.0083 0.000718 0.001038 0.003149 -0.010647 -0.106649 -0.192085  48.0623219119 -124.1408751176   284.67521
P403 05SEP18 2005.7139 53631 1341 0 -124.1  -3046 -0.567414   5325357  0.308799   284  0.678466  0.0083 0.000709 0.001049 0.003155 -0.008442 -0.122411 -0.200800  48.0623219236 -124.1408751485   284.67847
P403 05SEP19 2005.7166 53632 1341 1 -124.1  -3046 -0.566423   5325357  0.309579   284  0.680125  0.0083 0.000725 0.001078 0.003224  0.017576 -0.097510 -0.199810  48.0623219303 -124.1408751357   284.68013
P403 05SEP20 2005.7194 53633 1341 2 -124.1  -3046 -0.565603   5325357  0.309315   284  0.682465  0.0083 0.000702 0.001022 0.003032 -0.002919 -0.121640 -0.173808  48.0623219276 -124.1408751252   284.68246
P403 05SEP21 2005.7221 53634 1341 3 -124.1  -3046 -0.566661   5325357  0.309327   284  0.675323  0.0083 0.000722 0.001038 0.003192  0.026017 -0.187995 -0.165216  48.0623219273 -124.1408751399   284.67532
P403 05SEP22 2005.7248 53635 1341 4 -124.1  -3046 -0.565654   5325357  0.308534   284  0.676647  0.0083 0.000703 0.001044 0.003109 -0.021027 -0.102516 -0.185653  48.0623219199 -124.1408751269   284.67665
P403 05SEP23 2005.7276 53636 1341 5 -124.1  -3046 -0.566174   5325357  0.311018   284  0.678029  0.0083 0.000717 0.001043 0.003124  0.005867 -0.118784 -0.167247  48.0623219418 -124.1408751344   284.67803
P403 05SEP24 2005.7303 53637 1341 6 -124.1  -3046 -0.565681   5325357  0.309697   284  0.682213  0.0083 0.000715 0.001053 0.003122 -0.000986 -0.113750 -0.192607  48.0623219296 -124.1408751283   284.68221
